# winD 상시 요약 — 원본 monitor/serial-winD.log · **누적값**이다(구간값 아님).
# 판정 자료가 아니라 생존 눈금이다. 갈래·λ·도달률을 여기서 만들지 마라.
iso	ser_bytes	ser_lines	ser_last	fail3	banner	txresync	txwait_skip	txwait_okto	txwait_t2	cksumng_lines	slotline	slotoow	busy	tx	sendok	ipd	stall	srv_accept	srv_sframe	srv_ack	srv_down	tap_pids	grew
2026-08-18T09:15:04	10510	145	09:15:02	0	1	0	0	0	0	0	0	0	0	0	0	0	0	76	91370	2112	2243	94758	?
2026-08-18T09:20:05	56046	1126	09:20:04	0	1	0	0	0	0	0	181	0	0	181	181	0	0	77	91551	2112	2243	94758	yes
2026-08-18T09:25:05	113122	2381	09:25:04	0	1	0	0	0	0	0	430	0	0	430	430	0	0	77	91801	2112	2243	94758	yes
2026-08-18T09:30:05	170675	3609	09:30:05	1	1	3	6	1	1	0	660	0	0	650	649	0	0	79	92019	2112	2243	94758	yes
2026-08-18T09:35:05	229452	4882	09:35:05	2	1	6	6	1	1	0	907	0	0	894	893	0	0	80	92264	2112	2243	94758	yes
2026-08-18T09:40:06	288061	6141	09:40:05	2	1	6	12	2	2	0	1157	0	0	1136	1134	0	0	81	92505	2112	2243	94758	yes
2026-08-18T09:45:06	346397	7396	09:45:04	2	1	6	12	2	2	0	1406	0	0	1385	1383	0	0	81	92755	2112	2243	94758	yes
2026-08-18T09:50:06	404962	8656	09:50:06	2	1	6	12	2	2	0	1656	0	0	1635	1633	0	0	81	93004	2112	2243	94758	yes
2026-08-18T09:55:06	463298	9911	09:55:06	2	1	6	12	2	2	0	1905	0	0	1884	1882	0	0	81	93254	2112	2243	94758	yes
2026-08-18T10:00:07	521778	11168	10:00:06	2	1	6	13	2	2	0	2155	0	0	2133	2131	0	0	81	93503	2112	2243	94758	yes
2026-08-18T10:05:07	582041	12480	10:05:07	2	1	6	13	2	2	0	2405	13	0	2383	2381	13	0	81	93752	2125	2256	94758	yes
2026-08-18T10:10:07	657531	14229	10:10:07	2	1	6	14	2	2	1	2654	137	0	2631	2629	138	0	81	94001	2249	2381	94758	yes
2026-08-18T10:15:08	734908	15965	10:15:06	2	1	6	21	5	2	2	2903	256	0	2873	2871	264	0	81	94243	2374	2507	94758	yes
2026-08-18T10:20:08	800280	17400	10:20:07	2	1	6	21	5	2	3	3153	300	0	3123	3121	308	0	81	94493	2417	2551	94758	yes
