# winE 상시 요약 — 원본 monitor/serial-winE.log · **누적값**이다(구간값 아님).
# 판정 자료가 아니라 생존 눈금이다. 갈래·λ·도달률을 여기서 만들지 마라.
iso	ser_bytes	ser_lines	ser_last	fail3	banner	txresync	txwait_skip	txwait_okto	txwait_t2	cksumng_lines	slotline	slotoow	busy	tx	sendok	ipd	stall	srv_accept	srv_sframe	srv_ack	srv_down	tap_pids	grew
2026-08-18T10:24:58	1145	18	10:24:56	0	1	0	0	0	0	0	0	0	0	0	0	0	0	82	94704	2417	2551	72812	?
2026-08-18T10:29:58	69507	1572	10:29:58	0	1	0	0	0	0	0	247	72	0	247	247	73	0	83	94951	2490	2624	72812	yes
2026-08-18T10:34:58	146102	3324	10:34:58	0	1	0	0	0	0	0	496	195	0	496	496	198	0	83	95201	2615	2749	72812	yes
2026-08-18T10:39:59	219649	4995	10:39:58	0	1	0	0	0	0	0	746	295	0	746	746	301	0	83	95451	2718	2853	72812	yes
2026-08-18T10:44:59	277007	6245	10:44:58	0	1	0	2	1	0	0	995	295	0	993	993	301	0	83	95698	2718	2853	72812	yes
2026-08-18T10:49:59	335563	7505	10:49:58	0	1	0	2	1	0	0	1245	295	0	1243	1243	301	0	83	95948	2718	2853	72812	yes
2026-08-18T10:55:00	394133	8765	10:55:00	0	1	0	2	1	0	0	1495	295	0	1493	1493	301	0	83	96197	2718	2853	72812	yes
2026-08-18T11:00:00	452474	10020	10:59:59	0	1	0	2	1	0	0	1744	295	0	1742	1742	301	0	83	96447	2718	2853	72812	yes
2026-08-18T11:05:00	510711	11266	11:05:00	0	1	0	7	2	0	0	1994	295	0	1987	1987	301	0	83	96691	2718	2853	72812	yes
2026-08-18T11:10:01	569052	12521	11:10:00	0	1	0	7	2	0	0	2243	295	0	2236	2236	301	0	83	96941	2718	2853	72812	yes
2026-08-18T11:15:01	627622	13781	11:15:00	0	1	0	7	2	0	0	2493	295	0	2486	2486	301	0	83	97190	2718	2853	72812	yes
2026-08-18T11:20:01	685699	15034	11:20:00	0	1	0	7	2	0	0	2742	295	0	2735	2735	301	0	83	97440	2718	2853	72812	yes
2026-08-18T11:25:02	744269	16294	11:25:01	0	1	0	7	2	0	0	2992	295	0	2985	2985	301	0	83	97690	2718	2853	72812	yes
2026-08-18T11:30:02	802610	17549	11:30:00	0	1	0	7	2	0	0	3241	295	0	3234	3234	301	0	83	97939	2718	2853	72812	yes
2026-08-18T11:35:04	861180	18809	11:35:03	0	1	0	7	2	0	0	3491	295	0	3484	3484	301	0	83	98189	2718	2853	72812	yes
2026-08-18T11:40:05	919750	20069	11:40:04	0	1	0	7	2	0	0	3741	295	0	3734	3734	301	0	83	98439	2718	2853	72812	yes
2026-08-18T11:45:05	978091	21324	11:45:03	0	1	0	7	2	0	0	3990	295	0	3983	3983	301	0	83	98688	2718	2853	72812	yes
2026-08-18T11:50:05	1046176	22827	11:50:05	0	1	0	13	3	1	1	4239	327	0	4225	4224	333	0	84	98930	2768	2910	72812	yes
2026-08-18T11:55:06	1111973	24300	11:55:05	0	1	0	14	3	1	2	4489	351	0	4474	4473	357	0	84	99178	2802	2951	72812	yes
2026-08-18T12:00:06	1170329	25555	12:00:05	0	1	0	14	3	1	2	4738	351	0	4723	4722	357	0	84	99428	2802	2951	72812	yes
2026-08-18T12:05:06	1231202	26883	12:05:06	0	1	0	15	3	1	3	4988	359	0	4972	4971	365	0	84	99677	2814	2966	72812	yes
2026-08-18T12:10:07	1290670	28172	12:10:07	0	1	0	17	3	1	3	5238	361	0	5220	5219	367	0	84	99924	2821	2976	72812	yes
